///key,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
IDX,宝宝名字,攻击下限,攻击上限,魔法下限,魔法上限,宝宝血量,防御下限,防御上限,魔御下限,魔御上限,魔法加成,道术加成,攻击下限修正,攻击上限修正,魔法下限修正,魔法下限修正,生命值修正,防御下限修正,防御上限修正,魔御下限修正,魔御上限修正,名字索引,道玄道术加成,御灵道术加成
236,兵蚁3,115,115,115,115,7260,105,105,30,30,0,0,15,9,15,9,1080,0,0,0,0,,0,0
237,兵蚁4,120,120,120,120,7680,105,105,30,30,0,0,20,12,20,12,1440,0,0,0,0,,0,0
238,兵蚁5,125,125,125,125,8100,105,105,30,30,0,0,25,15,25,15,1800,0,0,0,0,,0,0
239,兵蚁6,130,130,130,130,8520,105,105,30,30,0,0,30,18,30,18,2160,0,0,0,0,,0,0
240,兵蚁7,140,140,140,140,8940,105,105,30,30,0,0,40,26,40,26,2520,0,0,0,0,,0,0
241,圣兽0,40,40,40,40,550,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0
242,圣兽1,35,40,35,40,770,90,90,90,90,0,33,5,4,5,4,0,0,0,0,0,,38,50
243,圣兽2,35,45,35,45,1100,90,90,90,90,0,33,10,7,10,7,0,0,0,0,0,,38,50
244,圣兽3,35,50,35,50,1540,90,90,90,90,0,33,15,10,15,10,0,0,0,0,0,,38,50
245,圣兽4,40,55,40,55,2090,90,90,90,90,0,33,20,12,20,12,0,0,0,0,0,,38,50
246,圣兽5,45,60,45,60,2750,90,90,90,90,0,33,25,13,25,13,0,0,0,0,0,,38,50
247,圣兽6,50,65,50,65,3520,90,90,90,90,0,33,30,14,30,14,0,0,0,0,0,,38,50
248,圣兽7,55,70,55,70,4400,90,90,90,90,0,33,40,19,40,19,0,0,0,0,0,,38,50
249,圣兽王0,35,35,35,35,600,95,95,95,95,0,0,0,0,0,26,0,0,0,0,0,,0,0
250,圣兽王1,35,40,35,40,840,95,95,95,95,0,33,5,4,5,4,0,0,0,0,0,,38,50
251,圣兽王2,35,45,35,45,1200,95,95,95,95,0,33,10,7,10,7,0,0,0,0,0,,38,50
252,圣兽王3,35,50,35,50,1680,95,95,95,95,0,33,15,10,15,10,0,0,0,0,0,,38,50
253,圣兽王4,40,55,40,55,2280,95,95,95,95,0,33,20,12,20,12,0,0,0,0,0,,38,50
254,圣兽王5,45,60,45,60,3000,95,95,95,95,0,33,25,13,25,13,0,0,0,0,0,,38,50
255,圣兽王6,50,65,50,65,3840,95,95,95,95,0,33,30,14,30,14,0,0,0,0,0,,38,50
256,圣兽王7,55,70,55,70,4800,95,95,95,95,0,33,40,19,40,19,0,0,0,0,0,,38,50
257,月灵10,55,55,55,55,1000,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,,0,0
258,月灵11,58,61,58,61,1400,125,125,125,125,0,33,3,4,3,4,340,0,0,0,0,,38,50
259,月灵12,62,66,62,66,2000,125,125,125,125,0,33,7,7,7,7,880,0,0,0,0,,38,50
260,月灵13,65,72,65,72,2800,125,125,125,125,0,33,10,11,10,11,1620,0,0,0,0,,38,50
261,月灵14,70,77,70,77,3800,125,125,125,125,0,33,15,14,15,14,2560,0,0,0,0,,38,50
262,月灵15,72,83,72,83,5000,125,125,125,125,0,33,17,18,17,18,3700,0,0,0,0,,38,50
263,月灵16,75,85,75,85,6400,125,125,125,125,0,33,20,18,20,18,5040,0,0,0,0,,38,50
264,月灵17,80,90,80,90,8000,125,125,125,125,0,33,25,21,25,21,6580,0,0,0,0,,38,50
265,圣兽10,40,40,40,40,550,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0
266,圣兽11,45,45,45,45,770,90,90,90,90,0,33,5,4,5,4,0,0,0,0,0,,38,50
267,圣兽12,50,50,50,50,1100,90,90,90,90,0,33,10,7,10,7,0,0,0,0,0,,38,50
268,圣兽13,55,55,55,55,1540,90,90,90,90,0,33,15,10,15,10,0,0,0,0,0,,38,50
269,圣兽14,60,60,60,60,2090,90,90,90,90,0,33,20,12,20,12,0,0,0,0,0,,38,50
270,圣兽15,65,65,65,65,2750,90,90,90,90,0,33,25,13,25,13,0,0,0,0,0,,38,50
271,圣兽16,70,70,70,70,3520,90,90,90,90,0,33,30,14,30,14,0,0,0,0,0,,38,50
272,圣兽17,80,80,80,80,4400,90,90,90,90,0,33,40,19,40,19,0,0,0,0,0,,38,50
273,圣兽王10,45,45,45,45,600,95,95,95,95,0,0,0,0,0,0,0,0,0,0,0,,0,0
274,圣兽王11,50,50,50,50,840,95,95,95,95,0,33,5,4,5,4,0,0,0,0,0,,38,50
275,圣兽王12,55,55,55,55,1200,95,95,95,95,0,33,10,7,10,7,0,0,0,0,0,,38,50
276,圣兽王13,60,60,60,60,1680,95,95,95,95,0,33,15,10,15,10,0,0,0,0,0,,38,50
277,圣兽王14,65,65,65,65,2280,95,95,95,95,0,33,20,12,20,12,0,0,0,0,0,,38,50
278,圣兽王15,70,70,70,70,3000,95,95,95,95,0,33,25,13,25,13,0,0,0,0,0,,38,50
279,圣兽王16,75,75,75,75,3840,95,95,95,95,0,33,30,14,30,14,0,0,0,0,0,,38,50
280,圣兽王17,85,85,85,85,4800,95,95,95,95,0,33,40,19,40,19,0,0,0,0,0,,38,50
281,三头火龙0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
282,三头火龙1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
283,三头火龙2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
284,三头火龙3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
285,三头火龙4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
286,三头火龙5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
287,三头火龙6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
288,三头火龙7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
289,变异圣兽王0,35,35,35,35,600,100,100,95,95,0,0,0,0,0,0,0,0,0,0,0,,0,0
290,变异圣兽王1,35,40,35,40,840,100,100,95,95,0,33,5,4,5,4,0,0,0,0,0,,38,50
291,变异圣兽王2,35,45,35,45,1200,100,100,95,95,0,33,10,7,10,7,0,0,0,0,0,,38,50
292,变异圣兽王3,35,50,35,50,1680,100,100,95,95,0,33,15,10,15,10,0,0,0,0,0,,38,50
293,变异圣兽王4,40,55,40,55,2280,100,100,95,95,0,33,20,12,20,12,0,0,0,0,0,,38,50
294,变异圣兽王5,45,60,45,60,3000,100,100,95,95,0,33,25,13,25,13,0,0,0,0,0,,38,50
295,变异圣兽王6,50,65,50,65,3840,100,100,95,95,0,33,30,14,30,14,0,0,0,0,0,,38,50
296,变异圣兽王7,55,70,55,70,4800,100,100,95,95,0,33,40,19,40,19,0,0,0,0,0,,38,50
297,变异圣兽王10,45,45,45,45,600,100,100,95,95,0,0,0,0,0,0,0,0,0,0,0,,0,0
298,变异圣兽王11,50,50,50,50,840,100,100,95,95,0,33,5,4,5,4,0,0,0,0,0,,38,50
299,变异圣兽王12,55,55,55,55,1200,100,100,95,95,0,33,10,7,10,7,0,0,0,0,0,,38,50
300,变异圣兽王13,60,60,60,60,1680,100,100,95,95,0,33,15,10,15,10,0,0,0,0,0,,38,50
301,变异圣兽王14,65,65,65,65,2280,100,100,95,95,0,33,20,12,20,12,0,0,0,0,0,,38,50
302,变异圣兽王15,70,70,70,70,3000,100,100,95,95,0,33,25,13,25,13,0,0,0,0,0,,38,50
303,变异圣兽王16,75,75,75,75,3840,100,100,95,95,0,33,30,14,30,14,0,0,0,0,0,,38,50
304,变异圣兽王17,85,85,85,85,4800,100,100,95,95,0,33,40,19,40,19,0,0,0,0,0,,38,50
305,迷失巡游兵0,67,67,67,67,3800,60,60,60,60,0,0,0,0,0,0,0,0,0,0,0,,0,0
306,迷失巡游兵1,70,70,70,70,4066,60,60,60,60,0,0,3,1,0,0,206,0,0,0,0,,0,0
307,迷失巡游兵2,74,74,74,74,4332,60,60,60,60,0,0,7,3,0,0,412,0,0,0,0,,0,0
308,迷失巡游兵3,77,77,77,77,4598,60,60,60,60,0,0,10,4,0,0,618,0,0,0,0,,0,0
309,迷失巡游兵4,80,80,80,80,4864,60,60,60,60,0,0,13,5,0,0,824,0,0,0,0,,0,0
310,迷失巡游兵5,84,84,84,84,5130,60,60,60,60,0,0,17,7,0,0,1030,0,0,0,0,,0,0
311,迷失巡游兵6,87,87,87,87,5396,60,60,60,60,0,0,20,8,0,0,1236,0,0,0,0,,0,0
312,迷失巡游兵7,94,94,94,94,5662,60,60,60,60,0,0,27,13,0,0,1442,0,0,0,0,,0,0
313,王陵卫士0,67,78,67,78,3750,70,70,70,70,0,0,0,0,0,0,0,0,0,0,0,,0,0
314,王陵卫士1,70,82,70,82,4013,70,70,70,70,0,0,3,2,0,0,203,0,0,0,0,,0,0
315,王陵卫士2,74,86,74,86,4275,70,70,70,70,0,0,7,4,0,0,405,0,0,0,0,,0,0
316,王陵卫士3,77,90,77,90,4538,70,70,70,70,0,0,10,6,0,0,608,0,0,0,0,,0,0
317,王陵卫士4,80,94,80,94,4800,70,70,70,70,0,0,13,8,0,0,810,0,0,0,0,,0,0
318,王陵卫士5,84,98,84,98,5063,70,70,70,70,0,0,17,10,0,0,1013,0,0,0,0,,0,0
319,王陵卫士6,87,101,87,101,5325,70,70,70,70,0,0,20,11,0,0,1215,0,0,0,0,,0,0
320,王陵卫士7,94,109,94,109,5587,70,70,70,70,0,0,27,17,0,0,1417,0,0,0,0,,0,0
321,牛魔祭司0,47,61,47,61,1080,30,30,10,10,0,0,0,0,0,0,0,0,0,0,0,,0,0
322,牛魔祭司1,49,64,49,64,1155,30,30,10,10,0,0,2,1,2,1,15,0,0,0,0,,0,0
323,牛魔祭司2,52,67,52,67,1231,30,30,10,10,0,0,5,2,5,2,31,0,0,0,0,,0,0
324,牛魔祭司3,54,70,54,70,1307,30,30,10,10,0,0,7,3,7,3,47,0,0,0,0,,0,0
325,牛魔祭司4,56,73,56,73,1382,30,30,10,10,0,0,9,4,9,4,62,0,0,0,0,,0,0
326,牛魔祭司5,59,76,59,76,1458,30,30,10,10,0,0,12,5,12,5,78,0,0,0,0,,0,0
327,牛魔祭司6,61,79,61,79,1534,30,30,10,10,0,0,14,6,14,6,94,0,0,0,0,,0,0
328,牛魔祭司7,66,85,66,85,1609,30,30,10,10,0,0,19,10,19,10,109,0,0,0,0,,0,0
