///key,,,,,,,,,,,,,,,,,,,,,,,
///Filter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IDX,宝宝名字,攻击下限,攻击上限,魔法下限,魔法上限,宝宝血量,防御下限,防御上限,魔御下限,魔御上限,魔法加成,道术加成,攻击下限修正,攻击上限修正,魔法下限修正,魔法下限修正,生命值修正,防御下限修正,防御上限修正,魔御下限修正,魔御上限修正,名字索引,
251,圣兽王2,55,55,55,55,1200,90,90,90,90,0,33,10,7,10,7,0,0,0,0,0,,
252,圣兽王3,60,60,60,60,1680,90,90,90,90,0,33,15,10,15,10,0,0,0,0,0,,
253,圣兽王4,65,65,65,65,2280,90,90,90,90,0,33,20,12,20,12,0,0,0,0,0,,
254,圣兽王5,70,70,70,70,3000,90,90,90,90,0,33,25,13,25,13,0,0,0,0,0,,
255,圣兽王6,75,75,75,75,3840,90,90,90,90,0,33,30,14,30,14,0,0,0,0,0,,
256,圣兽王7,85,85,85,85,4800,90,90,90,90,0,33,40,19,40,19,0,0,0,0,0,,
257,月灵10,55,55,55,55,1000,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,,
258,月灵11,58,61,58,61,1400,120,120,120,120,0,33,3,4,3,4,340,0,0,0,0,,
259,月灵12,62,66,62,66,2000,120,120,120,120,0,33,7,7,7,7,880,0,0,0,0,,
260,月灵13,65,72,65,72,2800,120,120,120,120,0,33,10,11,10,11,1620,0,0,0,0,,
261,月灵14,70,77,70,77,3800,120,120,120,120,0,33,15,14,15,14,2560,0,0,0,0,,
262,月灵15,72,83,72,83,5000,120,120,120,120,0,33,17,18,17,18,3700,0,0,0,0,,
263,月灵16,75,85,75,85,6400,120,120,120,120,0,33,20,18,20,18,5040,0,0,0,0,,
264,月灵17,80,90,80,90,8000,120,120,120,120,0,33,25,21,25,21,6580,0,0,0,0,,
265,圣兽10,40,40,40,40,550,85,85,85,85,0,0,0,0,0,0,0,0,0,0,0,,
266,圣兽11,45,45,45,45,770,85,85,85,85,0,33,5,4,5,4,0,0,0,0,0,,
267,圣兽12,50,50,50,50,1100,85,85,85,85,0,33,10,7,10,7,0,0,0,0,0,,
268,圣兽13,55,55,55,55,1540,85,85,85,85,0,33,15,10,15,10,0,0,0,0,0,,
269,圣兽14,60,60,60,60,2090,85,85,85,85,0,33,20,12,20,12,0,0,0,0,0,,
270,圣兽15,65,65,65,65,2750,85,85,85,85,0,33,25,13,25,13,0,0,0,0,0,,
271,圣兽16,70,70,70,70,3520,85,85,85,85,0,33,30,14,30,14,0,0,0,0,0,,
272,圣兽17,80,80,80,80,4400,85,85,85,85,0,33,40,19,40,19,0,0,0,0,0,,
273,圣兽王10,45,45,45,45,600,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,,
274,圣兽王11,50,50,50,50,840,90,90,90,90,0,33,5,4,5,4,0,0,0,0,0,,
275,圣兽王12,55,55,55,55,1200,90,90,90,90,0,33,10,7,10,7,0,0,0,0,0,,
276,圣兽王13,60,60,60,60,1680,90,90,90,90,0,33,15,10,15,10,0,0,0,0,0,,
277,圣兽王14,65,65,65,65,2280,90,90,90,90,0,33,20,12,20,12,0,0,0,0,0,,
278,圣兽王15,70,70,70,70,3000,90,90,90,90,0,33,25,13,25,13,0,0,0,0,0,,
279,圣兽王16,75,75,75,75,3840,90,90,90,90,0,33,30,14,30,14,0,0,0,0,0,,
280,圣兽王17,85,85,85,85,4800,90,90,90,90,0,33,40,19,40,19,0,0,0,0,0,,
281,三头火龙0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
282,三头火龙1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
283,三头火龙2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
284,三头火龙3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
285,三头火龙4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
286,三头火龙5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
287,三头火龙6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
288,三头火龙7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
